16,Michoacán de Ocampo,69,La Piedad,1,La Piedad de Cabadas,La Piedad
16,Michoacán de Ocampo,70,Purepero,1,Purépero de Echáiz,Purépero
16,Michoacán de Ocampo,71,Puruandiro,1,Puruándiro,Puruándiro
16,Michoacán de Ocampo,72,Querendaro,1,Queréndaro,Queréndaro
16,Michoacán de Ocampo,73,Quiroga,1,Quiroga,Quiroga
16,Michoacán de Ocampo,74,Cojumatlan de Regules,1,Cojumatlán de Régules,Cojumatlán de Régules
16,Michoacán de Ocampo,75,Los Reyes,1,Los Reyes de Salgado,Los Reyes
16,Michoacán de Ocampo,76,Sahuayo,1,Sahuayo de Morelos,Sahuayo
16,Michoacán de Ocampo,77,San Lucas,1,San Lucas,San Lucas
16,Michoacán de Ocampo,78,Santa Ana Maya,1,Santa Ana Maya,Santa Ana Maya
16,Michoacán de Ocampo,79,Salvador Escalante,1,Santa Clara del Cobre,Salvador Escalante
16,Michoacán de Ocampo,80,Senguio,1,Senguio,Senguio
16,Michoacán de Ocampo,81,Susupuato,1,Susupuato de Guerrero,Susupuato
16,Michoacán de Ocampo,82,Tacambaro,1,Tacámbaro de Codallos,Tacámbaro
16,Michoacán de Ocampo,83,Tancitaro,1,Tancítaro,Tancítaro
16,Michoacán de Ocampo,84,Tangamandapio,1,Santiago Tangamandapio,Tangamandapio
16,Michoacán de Ocampo,85,Tangancicuaro,1,Tangancícuaro de Arista,Tangancícuaro
16,Michoacán de Ocampo,86,Tanhuato,1,Tanhuato de Guerrero,Tanhuato
16,Michoacán de Ocampo,87,Taretan,1,Taretan,Taretan
16,Michoacán de Ocampo,88,Tarimbaro,1,Tarímbaro,Tarímbaro
16,Michoacán de Ocampo,89,Tepalcatepec,1,Tepalcatepec,Tepalcatepec
16,Michoacán de Ocampo,90,Tingambato,1,Tingambato,Tingambato
16,Michoacán de Ocampo,91,Tingüindin,1,Tingüindín,Tingüindín
16,Michoacán de Ocampo,92,Tiquicheo de Nicolas Romero,1,Tiquicheo,Tiquicheo de Nicolás Romero
16,Michoacán de Ocampo,93,Tlalpujahua,1,Tlalpujahua de Rayón,Tlalpujahua
16,Michoacán de Ocampo,94,Tlazazalca,1,Tlazazalca,Tlazazalca
16,Michoacán de Ocampo,95,Tocumbo,1,Tocumbo,Tocumbo
16,Michoacán de Ocampo,96,Tumbiscatio,1,Tumbiscatío de Ruiz,Tumbiscatío
16,Michoacán de Ocampo,97,Turicato,1,Turicato,Turicato
16,Michoacán de Ocampo,98,Tuxpan,1,Tuxpan,Tuxpan
16,Michoacán de Ocampo,99,Tuzantla,1,Tuzantla,Tuzantla
16,Michoacán de Ocampo,100,Tzintzuntzan,1,Tzintzuntzan,Tzintzuntzan
16,Michoacán de Ocampo,101,Tzitzio,1,Tzitzio,Tzitzio
16,Michoacán de Ocampo,102,Uruapan,1,Uruapan,Uruapan
16,Michoacán de Ocampo,103,Venustiano Carranza,1,Venustiano Carranza,Venustiano Carranza
16,Michoacán de Ocampo,104,Villamar,1,Villamar,Villamar
16,Michoacán de Ocampo,105,Vista Hermosa,1,Vista Hermosa de Negrete,Vista Hermosa
16,Michoacán de Ocampo,106,Yurecuaro,1,Yurécuaro,Yurécuaro
16,Michoacán de Ocampo,107,Zacapu,1,Zacapu,Zacapu
16,Michoacán de Ocampo,108,Zamora,1,Zamora de Hidalgo,Zamora
16,Michoacán de Ocampo,109,Zinaparo,1,Zináparo,Zináparo
16,Michoacán de Ocampo,110,Zinapecuaro,1,Zinapécuaro de Figueroa,Zinapécuaro
16,Michoacán de Ocampo,111,Ziracuaretiro,1,Ziracuaretiro,Ziracuaretiro
16,Michoacán de Ocampo,112,Zitacuaro,1,Heróica Zitácuaro,Zitácuaro
16,Michoacán de Ocampo,113,Jose Sixto Verduzco,1,Pastor Ortiz,José Sixto Verduzco
